orb_period,xit_duration,xit_depth,body_r_per_stellar_r_rat,body_r,orb_semimajor,inc,body_temp,body_insolation_flux,stellar_temp,stellar_r,stellar_m,kepler_status
0.566810643,3.471,0.00626,0.52,0.0126,76.68,1976,3605.07,1.367,5776,0.758,0.832,2
0.518071538,1.7865,0.318862,42.1,0.0126,34.22,2536,9823.05,1.529,5876,1.209,0.999,2
0.527679032,1.395,0.008448,0.79,0.0126,84.3,2115,4714.94,2.866,5799,0.86,0.955,2
0.51811818,0.3969,0.010742,1.09,0.0126,89.88,2360,7376.27,10.1,6240,0.929,1,2
0.566789763,4.008,0.004848,0.4,0.0126,56.72,1984,3662.84,1.162,5799,0.758,0.836,2
0.53633519,1.0547,0.019776,1.81,0.0127,82.08,1974,3603.58,3.55,5508,0.84,0.955,2
0.502622858,3.085,0.011782,1.41,0.0127,55.94,2478,8838.66,1.237,6029,1.098,1.065,2
0.494247662,1.2443,0.013828,1.51,0.0127,82.87,2257,6096.15,2.94,5763,0.998,1.107,1
0.53835407,1.5045,0.012638,1.67,0.0127,82.87,2386,7609.22,2.693,5539,1.207,0.932,0
0.566814046,4.049,0.006227,0.56,0.0127,56.95,2039,4073.9,1.16,5724,0.827,0.845,2
0.566805514,4.367,0.008194,0.82,0.0127,88.7,1920,3193.9,1.192,5115,0.917,0.842,2
0.566769068,3.011,0.006355,1.06,0.0127,52.49,2661,11897.94,1.269,5496,1.533,0.853,2
0.566798827,3.662,0.005381,0.52,0.0127,79.13,2045,4154.8,1.325,5548,0.889,0.856,2
0.626431697,2.0171,0.432421,34.05,0.0127,61.43,1709,2003.98,2.39,5134,0.721,0.688,2
0.565713361,0.954,0.008445,0.81,0.0127,87.06,1917,3197.67,4.49,5220,0.881,0.855,1
0.562498925,0.6743,0.02826,2.88,0.0127,65.76,2129,4880.5,2.37,5638,0.933,0.868,2
0.566802672,3.545,0.005053,1.08,0.0127,84.63,2791,14458.31,1.371,5102,1.961,0.86,2
0.520227316,1.7939,0.461655,50.41,0.0127,65.67,2264,6193.15,2.55,5780,1,1,2
0.502446098,1.803,0.003259,0.43,0.0127,69.62,2705,12572.01,1.827,6306,1.197,1.064,2
0.742957911,0.6688,0.027073,1.47,0.0128,88.93,1026,262.51,8.63,3731,0.498,0.509,0
0.558841234,0.7918,0.015407,1.33,0.0128,86.65,1787,2412.15,5.26,5151,0.792,0.903,0
0.568874717,1.2177,0.017496,1.49,0.0128,89.23,1796,2473.19,3.675,5223,0.78,0.889,0
0.605223042,0.8986,0.013804,1.14,0.0128,88.8,1728,2099.47,5.22,5089,0.757,0.757,2
0.566789505,5.835,0.039354,3.37,0.0128,7.89,2038,4051.92,1.04,5894,0.784,0.863,2
0.691561191,5.23,0.092307,5.91,0.0128,24.64,1460,1074.31,1.123,4892,0.586,0.583,2
0.530967171,3.8102,0.852795,92.29,0.0128,67.68,2312,6728.14,2.212,5951,0.991,0.983,2
0.566799218,4.227,0.004153,0.79,0.0128,52.14,3153,23364.03,1.12,6108,1.753,0.876,2
0.56678702,3.074,0.002516,0.27,0.0128,89.95,2356,7279.54,1.538,6045,0.999,0.863,2
0.566793818,4.929,0.012949,1.17,0.0128,14.72,2027,3972.65,1.019,5707,0.828,0.864,2
0.566799833,5.543,0.014788,1.27,0.0128,34.16,1900,3084.6,1.028,5488,0.789,0.877,2
0.618060842,1.892,0.005856,0.51,0.0128,43.32,1854,2791.09,1.298,5339,0.793,0.731,2
0.56679797,4.503,0.00764,0.65,0.0128,81.32,1799,2467.38,1.164,5230,0.777,0.873,2
0.552141897,4.985,0.101732,10.04,0.0128,6.88,2206,5602.43,1.0984,5952,0.904,0.913,2
0.5667638,1.73,0.007344,0.75,0.0128,86.48,2178,5335.09,2.57,5766,0.94,0.874,2
0.536654028,2.783,0.006137,0.67,0.0128,63.84,2299,6574.04,1.406,5887,1.001,0.965,2
0.527698548,3.2221,0.297633,29.35,0.0128,20.78,2088,4500.53,1.339,5638,0.903,1.005,2
0.566795467,4.712,0.00578,0.67,0.0129,62.87,2254,6076.99,1.104,5642,1.056,0.886,2
0.512583041,1.498,0.009823,1.07,0.0129,87.53,2363,7320.09,2.6895,6077,0.999,1.077,2
0.566801045,1.7499,0.013226,1.42,0.0129,72.73,2348,7209.06,2.117,6106,0.982,0.893,2
0.532087933,3.45028,0.685266,74.83,0.0129,82.81,2247,6002.61,2.23204,5780,1,1,2
0.65355361,1.63,0.318427,22.95,0.0129,50.98,1437,1004.07,1.947,4550,0.66,0.666,0
0.622303871,1.84,0.008318,0.77,0.0129,82.34,2032,4050.15,2.54,5672,0.853,0.742,2
0.5366497,2.887,0.009349,0.92,0.0129,88.47,2142,4982.76,1.558,5822,0.898,0.994,2
0.706430188,1.301,0.006559,0.41,0.0129,85.92,1473,1116.9,4.05,5037,0.568,0.574,2
0.562555067,1.7402,0.013287,1.21,0.013,76.51,2046,4128.4,2.259,5793,0.832,0.921,2
0.56680081,3.6116,0.010174,1.02,0.013,89.84,2038,4065.92,1.363846,5506,0.914,0.904,2
0.519437968,2.129,0.186382,20.48,0.013,17.3,2402,7822.62,1.227,6181,1.006,1.074,2
0.584148495,1.6192,0.007715,0.87,0.013,75.84,2130,4882.9,2.387,5427,1.031,0.861,2
0.580725004,2.071,0.009278,0.85,0.013,86.48,1939,3355.68,2.226,5471,0.841,0.874,2
0.5374094,1.2039,0.008863,0.96,0.013,87.17,2208,5646.82,3.445,5749,0.988,1.02,1
0.566717263,2.6079,0.004089,0.43,0.013,66.78,2096,4581.82,1.537268,5544,0.957,0.914,2
0.648774274,2.643,0.013565,1.08,0.013,87.76,1659,1795.83,1.989,5026,0.729,0.701,2
0.634946497,2.40541,0.655382,52.75,0.013,82.49,1475,1123.92,3.382,4446,0.737,0.729,2
